X,Y,Location,dollars_LE24,borrowers_LE24,dollars_25_34,borrowers_25_34,dollars_35_49,borrowers_35_49,dollars_50_61,borrowers_50_61,dollars_GE62,borrowers_GE62,avg_balance_LE24,avg_balance_25_34,avg_balance_35_49,avg_balance_50_61,avg_balance_GE62,FID
-86.8402868591286,32.7665425410536,Alabama,1.80999994277954,117.400001525879,6.94000005722046,200.100006103516,8.32999992370605,178.800003051758,2.94000005722046,72.9000015258789,0.730000019073486,20.2000007629395,15417.376953125,34682.66015625,46588.3671875,40329.21875,36138.61328125,1
-151.004157814704,64.8080878979515,Alaska,0.119999997317791,10.6000003814697,0.769999980926514,25.7000007629395,0.819999992847443,19.7000007629395,0.319999992847443,7.69999980926514,0.0900000035762787,2.20000004768372,11320.7548828125,29961.08984375,41624.3671875,41558.44140625,40909.08984375,2
-111.664753987997,34.2930164510979,Arizona,1.77999997138977,131.300003051758,9.22999954223633,291.200012207031,11.0299997329712,257.399993896484,4.23000001907349,108.699996948242,1.24000000953674,32.2999992370605,13556.740234375,31696.427734375,42851.59375,38914.4453125,38390.09375,3
-92.4388846999809,34.8999237249563,Arkansas,1.00999999046326,73.5,3.95000004768372,128.300003051758,4.6100001335144,109.599998474121,1.51999998092651,41.2000007629395,0.370000004768372,10.5,13741.4970703125,30787.216796875,42062.04296875,36893.203125,35238.09375,4
-119.27023000003,36.3741056928266,California,10.0200004577637,691.099975585938,49.6500015258789,1447,45.3300018310547,1003.20001220703,19.8199996948242,480.100006103516,6.34000015258789,158.699996948242,14498.625,34312.37109375,45185.40625,41283.06640625,39949.58984375,5
-105.547816373141,38.9985505616521,Colorado,1.83000004291534,128.5,9.52999973297119,285,9.75,214,3.74000000953674,85.5999984741211,1.03999996185303,23.5,14241.2451171875,33438.59765625,45560.74609375,43691.58984375,44255.3203125,6
-72.7383059076054,41.5735027303279,Connecticut,2.05999994277954,120.099998474121,5.46000003814697,159.800003051758,4.17999982833862,102.599998474121,2.88000011444092,62.4000015258789,0.810000002384186,16.3999996185303,17152.373046875,34167.7109375,40740.7421875,46153.84765625,49390.2421875,7
-75.4674721437697,39.0081272759818,Delaware,0.409999996423721,25.8999996185303,1.35000002384186,39.7999992370605,1.38999998569489,30.6000003814697,0.730000019073486,15.5,0.180000007152557,4,15830.1162109375,33919.59765625,45424.8359375,47096.7734375,45000,8
-77.0163217456798,38.904771192046,District of Columbia,0.310000002384186,15.6999998092651,3.0699999332428,51.2000007629395,1.95000004768372,30.5,0.560000002384186,12.5,0.209999993443489,5.19999980926514,19745.22265625,59960.9375,63934.42578125,44800,40384.6171875,9
-81.6886487900596,28.5660448952499,Florida,5.63000011444092,379.899993896484,31.3999996185303,886.400024414063,33.2900009155273,736.200012207031,13.210000038147,315.299987792969,3.69000005722046,91.9000015258789,14819.689453125,35424.1875,45218.69140625,41896.60546875,40152.33984375,10
-83.44453440099,32.6483245537677,Georgia,4.5,287.399993896484,19.1900005340576,518.599975585938,24.5699996948242,468.200012207031,9.48999977111816,196.199996948242,2.28999996185303,50.2000007629395,15657.6201171875,37003.47265625,52477.57421875,48369.01171875,45617.53125,11
-157.943631930109,21.4395425790633,Hawaii,0.340000003576279,23.7999992370605,1.33000004291534,41.7000007629395,1.46000003814697,31.7999992370605,0.720000028610229,15.6000003814697,0.239999994635582,5.09999990463257,14285.7138671875,31894.484375,45911.94921875,46153.84765625,47058.82421875,12
-114.659446938211,44.3889953942873,Idaho,0.479999989271164,38.2000007629395,2.09999990463257,74.9000015258789,2.75,66.4000015258789,0.860000014305115,22.2999992370605,0.239999994635582,5.90000009536743,12565.4453125,28037.3828125,41415.6640625,38565.0234375,40677.96484375,13
-89.1586509017675,40.1140465703311,Illinois,5.86999988555908,354,20.9899997711182,563.900024414063,18.0799999237061,394.5,9.10000038146973,204.199996948242,2.47000002861023,59.7999992370605,16581.921875,37222.91015625,45830.1640625,44564.15234375,41304.34765625,14
